date,location,tmax,tmin,rainfall_mm,cloud_amt
2024-12-27,Bhubaneswar,26.52,15.67,0.02,2.42
2024-12-27,Srinagar,5.9,-3.39,21.71,72.17
2024-12-27,Gopalpur,25.85,18.56,0.02,7.31
2024-12-27,Agartala,24.64,13.12,0.0,2.39
2024-12-27,Tawang,11.22,-0.29,0.0,12.61
2024-12-27,Goa,30.12,25.41,0.0,32.89
2024-12-27,Varanasi,28.15,14.69,0.0,15.67
2024-12-27,Mumbai,29.39,18.51,0.01,36.33
2024-12-27,Similipal,25.78,14.6,0.0,1.36
2024-12-27,Gangtok,10.61,-0.08,0.0,32.04
2024-12-27,Chilika,25.77,21.51,0.08,2.68
2024-12-27,Kochi,31.24,24.98,1.89,28.94
2024-12-27,Delhi,23.76,13.56,9.51,99.65
2024-12-27,Konark,25.85,19.41,0.13,3.22
2024-12-27,Agra,26.48,15.46,9.74,73.53
2024-12-27,Darjeeling,19.57,10.12,0.0,32.04
2024-12-27,Jaipur,19.6,13.25,14.48,92.71
2024-12-27,Puri,26.19,17.42,0.09,2.68
2024-12-28,Similipal,26.69,13.63,0.0,0.8
2024-12-28,Shillong,19.67,8.28,0.0,3.85
2024-12-28,Agra,23.33,14.59,2.63,74.51
2024-12-28,Varanasi,22.42,14.14,1.85,79.2
2024-12-28,Srinagar,1.98,-9.9,17.23,90.92
2024-12-28,Agartala,24.97,12.15,0.0,3.39
2024-12-28,Darjeeling,19.36,10.63,0.0,62.08
2024-12-28,Kochi,31.28,24.97,0.43,32.8
2024-12-28,Bhubaneswar,26.78,15.08,0.0,2.5
2024-12-28,Puri,26.48,16.71,0.0,2.4
2024-12-28,Chilika,25.97,21.43,0.0,2.4
2024-12-28,Gopalpur,26.35,18.35,0.0,0.6
2024-12-28,Guwahati,23.55,9.64,0.0,5.89
2024-12-28,Jaipur,20.98,9.28,0.03,48.85
2024-12-28,Delhi,19.26,11.41,6.09,88.33
2024-12-28,Mumbai,30.2,19.42,0.48,34.31
2024-12-28,Gangtok,10.23,0.98,0.0,62.08
2024-12-28,Tawang,12.99,2.61,0.0,17.08
2024-12-28,Konark,26.09,18.9,0.0,1.59
2024-12-28,Goa,30.23,25.13,0.0,12.76
2024-12-29,Bhubaneswar,27.45,16.25,0.0,5.58
2024-12-29,Tawang,7.98,-1.24,0.0,71.7
2024-12-29,Guwahati,24.2,11.69,0.0,26.38
2024-12-29,Varanasi,26.45,12.59,0.01,71.7
2024-12-29,Gopalpur,27.51,19.42,0.0,3.41
2024-12-29,Goa,30.65,24.74,0.0,21.04
2024-12-29,Jaipur,20.5,6.62,0.0,36.22
2024-12-29,Kochi,30.89,24.39,0.14,15.26
2024-12-29,Gangtok,5.92,-0.67,0.0,70.0
2024-12-29,Delhi,22.34,9.35,0.08,90.47
2024-12-29,Konark,26.57,19.23,0.0,5.58
2024-12-29,Agra,22.22,10.28,0.0,80.27
2024-12-29,Agartala,24.8,14.71,0.0,0.88
2024-12-29,Mumbai,31.72,19.49,0.04,7.93
2024-12-29,Srinagar,3.86,-11.67,0.01,63.89
2024-12-29,Chilika,26.43,22.41,0.0,5.06
2024-12-29,Puri,27.29,18.36,0.0,5.06
2024-12-29,Shillong,17.52,7.76,0.0,14.17
2024-12-29,Similipal,27.38,15.8,0.0,15.06
2024-12-29,Darjeeling,18.09,10.66,0.0,70.0
2024-12-30,Srinagar,6.62,-6.65,0.0,65.37
2024-12-30,Gopalpur,26.33,19.46,0.0,22.81
2024-12-30,Similipal,25.29,15.87,0.0,21.19
2024-12-30,Guwahati,22.09,10.9,0.0,12.65
2024-12-30,Varanasi,23.34,10.26,0.0,89.54
2024-12-30,Goa,31.56,22.82,0.0,12.27
2024-12-30,Jaipur,19.94,5.15,0.0,67.74
2024-12-30,Gangtok,6.34,-2.36,0.0,56.09
2024-12-30,Kochi,31.3,24.54,0.71,64.64
2024-12-30,Delhi,20.98,6.11,0.0,82.16
2024-12-30,Konark,25.81,18.95,0.0,6.79
2024-12-30,Darjeeling,16.81,9.58,0.0,56.09
2024-12-30,Mumbai,31.87,19.45,0.0,10.36
2024-12-30,Chilika,25.83,21.79,0.0,6.16
2024-12-30,Puri,26.31,17.96,0.0,6.16
2024-12-30,Bhubaneswar,26.37,16.32,0.0,5.31
2024-12-30,Shillong,18.44,5.66,0.0,6.99
2024-12-30,Agra,20.53,6.56,0.0,98.83
2024-12-30,Agartala,24.26,13.36,0.0,0.5
2024-12-30,Tawang,6.91,-2.05,0.0,60.7
2024-12-31,Guwahati,22.31,11.33,0.0,23.71
2024-12-31,Srinagar,6.43,-6.7,0.0,65.4
2024-12-31,Agartala,23.42,12.31,0.0,14.72
2024-12-31,Agra,20.14,7.38,0.0,98.78
2024-12-31,Bhubaneswar,24.93,15.14,0.0,23.88
2024-12-31,Chilika,24.43,22.1,0.0,25.42
2024-12-31,Darjeeling,17.15,9.28,0.0,46.99
2024-12-31,Delhi,20.6,5.47,0.0,68.33
2024-12-31,Gangtok,6.99,-3.7,0.0,46.99
2024-12-31,Tawang,8.82,-3.0,0.0,38.05
2024-12-31,Goa,32.13,23.01,0.0,16.55
2024-12-31,Jaipur,20.35,5.47,0.0,72.92
2024-12-31,Kochi,31.51,24.92,0.31,55.92
2024-12-31,Konark,24.3,19.24,0.01,22.62
2024-12-31,Mumbai,32.93,19.06,0.0,7.89
2024-12-31,Puri,24.82,17.97,0.0,25.42
2024-12-31,Shillong,16.81,6.4,0.0,11.65
2024-12-31,Similipal,22.74,12.1,0.0,34.13
2024-12-31,Gopalpur,25.33,19.36,0.0,25.0
2024-12-31,Varanasi,22.67,8.68,0.0,99.35
